OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Region,UnitsSold,UnitPrice,Discount,Cost,SalesAmount,GrossProfit
O10105,2023-02-02,C1043,P216,Product 17,Electronics,East,5,370.37,0.0,147.09,1851.85,1116.4
O10106,2023-02-02,C1031,P229,Product 30,Electronics,West,18,214.73,0.05,140.8,3671.88,1137.48
O10107,2023-02-03,C1001,P203,Product 4,Furniture,North,2,477.65,0.0,181.0,955.3,593.3
O10108,2023-02-03,C1041,P201,Product 2,Software,East,4,80.89,0.0,49.22,323.56,126.68
O10109,2023-02-03,C1011,P218,Product 19,Office Supplies,West,19,203.65,0.0,85.36,3869.35,2247.51
O10110,2023-02-03,C1020,P202,Product 3,Office Supplies,South,13,97.88,0.0,36.6,1272.44,796.64
O10111,2023-02-04,C1035,P200,Product 1,Electronics,East,3,207.23,0.0,104.52,621.69,308.13
O10112,2023-02-04,C1013,P215,Product 16,Furniture,North,10,215.0,0.0,77.58,2150.0,1374.2
O10113,2023-02-04,C1044,P201,Product 2,Software,North,5,80.89,0.05,49.22,384.23,138.13
O10114,2023-02-04,C1038,P229,Product 30,Electronics,East,15,214.73,0.0,140.8,3220.95,1108.95
O10115,2023-02-05,C1016,P219,Product 20,Software,West,2,459.87,0.0,188.0,919.74,543.74
O10116,2023-02-05,C1004,P224,Product 25,Office Supplies,North,2,570.22,0.05,191.49,1083.42,700.44
O10117,2023-02-05,C1035,P200,Product 1,Electronics,East,8,207.23,0.0,104.52,1657.84,821.68
O10118,2023-02-05,C1009,P212,Product 13,Furniture,East,15,54.4,0.0,27.16,816.0,408.6
O10119,2023-02-06,C1028,P221,Product 22,Office Supplies,East,14,26.26,0.0,15.92,367.64,144.76
O10120,2023-02-06,C1000,P209,Product 10,Office Supplies,East,12,309.61,0.05,108.59,3529.55,2226.47
O10121,2023-02-06,C1000,P204,Product 5,Office Supplies,East,8,365.41,0.0,149.12,2923.28,1730.32
O10122,2023-02-06,C1036,P221,Product 22,Office Supplies,East,11,26.26,0.0,15.92,288.86,113.74
O10123,2023-02-06,C1055,P216,Product 17,Electronics,South,17,370.37,0.0,147.09,6296.29,3795.76
O10124,2023-02-07,C1019,P214,Product 15,Electronics,East,6,367.76,0.0,169.05,2206.56,1192.26
O10125,2023-02-07,C1036,P217,Product 18,Software,East,14,311.91,0.0,117.62,4366.74,2720.06
O10126,2023-02-07,C1005,P219,Product 20,Software,North,1,459.87,0.0,188.0,459.87,271.87
O10127,2023-02-08,C1050,P220,Product 21,Electronics,North,5,278.07,0.0,101.91,1390.35,880.8
O10128,2023-02-08,C1049,P211,Product 12,Office Supplies,West,10,437.23,0.0,150.23,4372.3,2870.0
O10129,2023-02-08,C1024,P223,Product 24,Software,South,11,31.6,0.0,19.77,347.6,130.13
O10130,2023-02-08,C1046,P228,Product 29,Electronics,West,7,253.39,0.0,88.43,1773.73,1154.72
O10131,2023-02-08,C1037,P210,Product 11,Software,South,18,111.71,0.0,77.24,2010.78,620.46
O10132,2023-02-08,C1049,P229,Product 30,Electronics,West,13,214.73,0.0,140.8,2791.49,961.09
O10133,2023-02-08,C1000,P209,Product 10,Office Supplies,East,8,309.61,0.15,108.59,2105.35,1236.63
O10134,2023-02-08,C1037,P222,Product 23,Software,South,8,84.86,0.0,40.78,678.88,352.64
O10135,2023-02-09,C1054,P214,Product 15,Electronics,South,15,367.76,0.0,169.05,5516.4,2980.65
O10136,2023-02-10,C1049,P225,Product 26,Furniture,West,11,213.13,0.0,73.51,2344.43,1535.82
O10137,2023-02-10,C1046,P217,Product 18,Software,West,17,311.91,0.05,117.62,5037.35,3037.81
O10138,2023-02-10,C1007,P207,Product 8,Office Supplies,West,17,339.87,0.0,183.74,5777.79,2654.21
O10139,2023-02-10,C1018,P213,Product 14,Furniture,West,4,86.81,0.0,56.62,347.24,120.76
O10140,2023-02-10,C1004,P215,Product 16,Furniture,North,14,215.0,0.0,77.58,3010.0,1923.88
O10141,2023-02-10,C1005,P208,Product 9,Office Supplies,North,2,118.51,0.15,86.83,201.47,27.81
O10142,2023-02-10,C1047,P208,Product 9,Office Supplies,North,1,118.51,0.0,86.83,118.51,31.68
O10143,2023-02-11,C1010,P208,Product 9,Office Supplies,East,13,118.51,0.0,86.83,1540.63,411.84
O10144,2023-02-12,C1037,P228,Product 29,Electronics,South,6,253.39,0.0,88.43,1520.34,989.76
O10145,2023-02-12,C1012,P218,Product 19,Office Supplies,East,6,203.65,0.1,85.36,1099.71,587.55
O10146,2023-02-12,C1000,P222,Product 23,Software,East,19,84.86,0.05,40.78,1531.72,756.9
O10147,2023-02-15,C1014,P221,Product 22,Office Supplies,South,7,26.26,0.0,15.92,183.82,72.38
O10148,2023-02-15,C1014,P200,Product 1,Electronics,South,12,207.23,0.0,104.52,2486.76,1232.52
O10149,2023-02-15,C1048,P218,Product 19,Office Supplies,North,1,203.65,0.0,85.36,203.65,118.29
O10150,2023-02-16,C1034,P211,Product 12,Office Supplies,West,6,437.23,0.0,150.23,2623.38,1722.0
O10151,2023-02-16,C1001,P207,Product 8,Office Supplies,North,14,339.87,0.0,183.74,4758.18,2185.82
O10152,2023-02-16,C1025,P213,Product 14,Furniture,South,9,86.81,0.0,56.62,781.29,271.71
O10153,2023-02-16,C1047,P205,Product 6,Office Supplies,North,12,209.71,0.0,124.1,2516.52,1027.32
O10154,2023-02-16,C1014,P204,Product 5,Office Supplies,South,15,365.41,0.0,149.12,5481.15,3244.35
O10155,2023-02-16,C1043,P215,Product 16,Furniture,East,6,215.0,0.0,77.58,1290.0,824.52
O10156,2023-02-16,C1022,P226,Product 27,Office Supplies,North,11,127.24,0.0,100.11,1399.64,298.43
O10157,2023-02-16,C1059,P210,Product 11,Software,South,16,111.71,0.0,77.24,1787.36,551.52
O10158,2023-02-16,C1014,P224,Product 25,Office Supplies,South,4,570.22,0.1,191.49,2052.79,1286.83
O10159,2023-02-16,C1033,P203,Product 4,Furniture,South,13,477.65,0.0,181.0,6209.45,3856.45
O10160,2023-02-16,C1051,P213,Product 14,Furniture,East,4,86.81,0.0,56.62,347.24,120.76
O10161,2023-02-17,C1007,P226,Product 27,Office Supplies,West,15,127.24,0.0,100.11,1908.6,406.95
O10162,2023-02-17,C1017,P215,Product 16,Furniture,West,10,215.0,0.0,77.58,2150.0,1374.2
O10163,2023-02-17,C1024,P216,Product 17,Electronics,South,13,370.37,0.0,147.09,4814.81,2902.64
O10164,2023-02-17,C1043,P229,Product 30,Electronics,East,11,214.73,0.0,140.8,2362.03,813.23
O10165,2023-02-18,C1055,P206,Product 7,Electronics,South,13,235.09,0.0,103.91,3056.17,1705.34
O10166,2023-02-18,C1055,P216,Product 17,Electronics,South,10,370.37,0.0,147.09,3703.7,2232.8
O10167,2023-02-20,C1044,P206,Product 7,Electronics,North,1,235.09,0.0,103.91,235.09,131.18
O10168,2023-02-20,C1054,P209,Product 10,Office Supplies,South,15,309.61,0.15,108.59,3947.53,2318.68
O10169,2023-02-20,C1014,P221,Product 22,Office Supplies,South,9,26.26,0.0,15.92,236.34,93.06
O10170,2023-02-20,C1015,P209,Product 10,Office Supplies,South,10,309.61,0.1,108.59,2786.49,1700.59
O10171,2023-02-20,C1023,P225,Product 26,Furniture,South,5,213.13,0.0,73.51,1065.65,698.1
O10172,2023-02-22,C1017,P203,Product 4,Furniture,West,7,477.65,0.0,181.0,3343.55,2076.55
O10173,2023-02-22,C1054,P218,Product 19,Office Supplies,South,4,203.65,0.0,85.36,814.6,473.16
O10174,2023-02-22,C1034,P217,Product 18,Software,West,5,311.91,0.0,117.62,1559.55,971.45
O10175,2023-02-22,C1036,P200,Product 1,Electronics,East,17,207.23,0.0,104.52,3522.91,1746.07
O10176,2023-02-22,C1031,P214,Product 15,Electronics,West,3,367.76,0.0,169.05,1103.28,596.13
O10177,2023-02-22,C1056,P209,Product 10,Office Supplies,North,9,309.61,0.0,108.59,2786.49,1809.18
O10178,2023-02-22,C1006,P229,Product 30,Electronics,West,2,214.73,0.0,140.8,429.46,147.86
O10179,2023-02-22,C1053,P220,Product 21,Electronics,West,18,278.07,0.0,101.91,5005.26,3170.88
O10180,2023-02-22,C1038,P206,Product 7,Electronics,East,9,235.09,0.0,103.91,2115.81,1180.62
O10181,2023-02-23,C1041,P218,Product 19,Office Supplies,East,4,203.65,0.0,85.36,814.6,473.16
O10182,2023-02-23,C1039,P206,Product 7,Electronics,South,13,235.09,0.0,103.91,3056.17,1705.34
O10183,2023-02-23,C1007,P200,Product 1,Electronics,West,4,207.23,0.0,104.52,828.92,410.84
O10184,2023-02-23,C1003,P226,Product 27,Office Supplies,North,6,127.24,0.0,100.11,763.44,162.78
O10185,2023-02-25,C1043,P216,Product 17,Electronics,East,2,370.37,0.0,147.09,740.74,446.56
O10186,2023-02-25,C1049,P220,Product 21,Electronics,West,8,278.07,0.05,101.91,2113.33,1298.05
O10187,2023-02-25,C1002,P202,Product 3,Office Supplies,West,12,97.88,0.0,36.6,1174.56,735.36
O10188,2023-02-25,C1043,P221,Product 22,Office Supplies,East,6,26.26,0.0,15.92,157.56,62.04
O10189,2023-02-27,C1022,P205,Product 6,Office Supplies,North,17,209.71,0.15,124.1,3030.31,920.61
O10190,2023-02-27,C1057,P229,Product 30,Electronics,South,8,214.73,0.0,140.8,1717.84,591.44
O10191,2023-02-27,C1015,P212,Product 13,Furniture,South,15,54.4,0.0,27.16,816.0,408.6
O10192,2023-02-27,C1015,P229,Product 30,Electronics,South,16,214.73,0.0,140.8,3435.68,1182.88
O10193,2023-02-27,C1015,P211,Product 12,Office Supplies,South,8,437.23,0.0,150.23,3497.84,2296.0
O10194,2023-02-27,C1004,P212,Product 13,Furniture,North,19,54.4,0.0,27.16,1033.6,517.56
O10195,2023-02-27,C1000,P219,Product 20,Software,East,8,459.87,0.0,188.0,3678.96,2174.96
O10196,2023-02-28,C1007,P229,Product 30,Electronics,West,6,214.73,0.0,140.8,1288.38,443.58
O10197,2023-03-02,C1051,P200,Product 1,Electronics,East,16,207.23,0.0,104.52,3315.68,1643.36
O10198,2023-03-02,C1022,P201,Product 2,Software,North,14,80.89,0.0,49.22,1132.46,443.38
O10199,2023-03-02,C1020,P217,Product 18,Software,South,13,311.91,0.0,117.62,4054.83,2525.77
O10200,2023-03-03,C1002,P226,Product 27,Office Supplies,West,9,127.24,0.0,100.11,1145.16,244.17
O10201,2023-03-03,C1005,P219,Product 20,Software,North,4,459.87,0.05,188.0,1747.51,995.51
O10202,2023-03-04,C1059,P221,Product 22,Office Supplies,South,11,26.26,0.0,15.92,288.86,113.74
O10203,2023-03-04,C1048,P204,Product 5,Office Supplies,North,10,365.41,0.0,149.12,3654.1,2162.9
O10204,2023-03-04,C1034,P209,Product 10,Office Supplies,West,6,309.61,0.05,108.59,1764.78,1113.24
O10205,2023-03-04,C1005,P223,Product 24,Software,North,10,31.6,0.05,19.77,300.2,102.5
O10206,2023-03-04,C1013,P202,Product 3,Office Supplies,North,16,97.88,0.0,36.6,1566.08,980.48
O10207,2023-03-06,C1001,P214,Product 15,Electronics,North,3,367.76,0.0,169.05,1103.28,596.13
O10208,2023-03-06,C1009,P217,Product 18,Software,East,14,311.91,0.15,117.62,3711.73,2065.05
O10209,2023-03-06,C1053,P224,Product 25,Office Supplies,West,2,570.22,0.0,191.49,1140.44,757.46
O10210,2023-03-06,C1000,P200,Product 1,Electronics,East,4,207.23,0.0,104.52,828.92,410.84
O10211,2023-03-08,C1002,P215,Product 16,Furniture,West,14,215.0,0.0,77.58,3010.0,1923.88
O10212,2023-03-08,C1012,P202,Product 3,Office Supplies,East,9,97.88,0.05,36.6,836.87,507.47
O10213,2023-03-10,C1003,P201,Product 2,Software,North,8,80.89,0.0,49.22,647.12,253.36
O10214,2023-03-10,C1011,P214,Product 15,Electronics,West,4,367.76,0.0,169.05,1471.04,794.84
O10215,2023-03-10,C1005,P213,Product 14,Furniture,North,18,86.81,0.0,56.62,1562.58,543.42
O10216,2023-03-11,C1018,P210,Product 11,Software,West,2,111.71,0.0,77.24,223.42,68.94
O10217,2023-03-13,C1009,P218,Product 19,Office Supplies,East,5,203.65,0.0,85.36,1018.25,591.45
O10218,2023-03-13,C1049,P224,Product 25,Office Supplies,West,2,570.22,0.0,191.49,1140.44,757.46
O10219,2023-03-13,C1018,P228,Product 29,Electronics,West,15,253.39,0.15,88.43,3230.72,1904.27
O10220,2023-03-13,C1045,P202,Product 3,Office Supplies,East,9,97.88,0.0,36.6,880.92,551.52
O10221,2023-03-14,C1032,P206,Product 7,Electronics,North,16,235.09,0.0,103.91,3761.44,2098.88
O10222,2023-03-14,C1016,P203,Product 4,Furniture,West,4,477.65,0.15,181.0,1624.01,900.01
O10223,2023-03-14,C1028,P204,Product 5,Office Supplies,East,7,365.41,0.0,149.12,2557.87,1514.03
O10224,2023-03-15,C1051,P206,Product 7,Electronics,East,18,235.09,0.0,103.91,4231.62,2361.24
O10225,2023-03-15,C1027,P229,Product 30,Electronics,North,3,214.73,0.0,140.8,644.19,221.79
O10226,2023-03-16,C1021,P213,Product 14,Furniture,West,7,86.81,0.0,56.62,607.67,211.33
O10227,2023-03-16,C1020,P204,Product 5,Office Supplies,South,2,365.41,0.0,149.12,730.82,432.58
O10228,2023-03-16,C1022,P205,Product 6,Office Supplies,North,15,209.71,0.0,124.1,3145.65,1284.15
O10229,2023-03-16,C1012,P225,Product 26,Furniture,East,7,213.13,0.0,73.51,1491.91,977.34
O10230,2023-03-16,C1052,P225,Product 26,Furniture,West,18,213.13,0.0,73.51,3836.34,2513.16
O10231,2023-03-17,C1016,P204,Product 5,Office Supplies,West,13,365.41,0.0,149.12,4750.33,2811.77
O10232,2023-03-17,C1020,P202,Product 3,Office Supplies,South,17,97.88,0.0,36.6,1663.96,1041.76
O10233,2023-03-17,C1047,P220,Product 21,Electronics,North,4,278.07,0.05,101.91,1056.67,649.03
O10234,2023-03-17,C1040,P227,Product 28,Electronics,West,18,59.97,0.0,24.28,1079.46,642.42
O10235,2023-03-17,C1041,P228,Product 29,Electronics,East,6,253.39,0.0,88.43,1520.34,989.76
O10236,2023-03-19,C1055,P216,Product 17,Electronics,South,9,370.37,0.0,147.09,3333.33,2009.52
O10237,2023-03-19,C1047,P208,Product 9,Office Supplies,North,1,118.51,0.05,86.83,112.58,25.75
O10238,2023-03-19,C1059,P200,Product 1,Electronics,South,10,207.23,0.1,104.52,1865.07,819.87
O10239,2023-03-21,C1007,P227,Product 28,Electronics,West,11,59.97,0.0,24.28,659.67,392.59
O10240,2023-03-22,C1016,P221,Product 22,Office Supplies,West,8,26.26,0.0,15.92,210.08,82.72
O10241,2023-03-22,C1031,P227,Product 28,Electronics,West,13,59.97,0.0,24.28,779.61,463.97
O10242,2023-03-22,C1007,P211,Product 12,Office Supplies,West,1,437.23,0.0,150.23,437.23,287.0
O10243,2023-03-22,C1050,P207,Product 8,Office Supplies,North,11,339.87,0.0,183.74,3738.57,1717.43
O10244,2023-03-22,C1020,P223,Product 24,Software,South,17,31.6,0.15,19.77,456.62,120.53
O10245,2023-03-22,C1051,P207,Product 8,Office Supplies,East,14,339.87,0.15,183.74,4044.45,1472.09
O10246,2023-03-22,C1027,P214,Product 15,Electronics,North,19,367.76,0.0,169.05,6987.44,3775.49
O10247,2023-03-24,C1053,P210,Product 11,Software,West,5,111.71,0.0,77.24,558.55,172.35
O10248,2023-03-24,C1031,P207,Product 8,Office Supplies,West,10,339.87,0.0,183.74,3398.7,1561.3
O10249,2023-03-24,C1039,P215,Product 16,Furniture,South,17,215.0,0.0,77.58,3655.0,2336.14
O10250,2023-03-26,C1002,P208,Product 9,Office Supplies,West,2,118.51,0.0,86.83,237.02,63.36
O10251,2023-03-27,C1040,P203,Product 4,Furniture,West,4,477.65,0.0,181.0,1910.6,1186.6
O10252,2023-03-27,C1035,P225,Product 26,Furniture,East,18,213.13,0.0,73.51,3836.34,2513.16
O10253,2023-03-27,C1052,P207,Product 8,Office Supplies,West,2,339.87,0.0,183.74,679.74,312.26
O10254,2023-03-27,C1014,P215,Product 16,Furniture,South,2,215.0,0.0,77.58,430.0,274.84
O10255,2023-03-27,C1008,P216,Product 17,Electronics,East,8,370.37,0.0,147.09,2962.96,1786.24
O10256,2023-03-29,C1024,P207,Product 8,Office Supplies,South,14,339.87,0.0,183.74,4758.18,2185.82
O10257,2023-03-31,C1045,P221,Product 22,Office Supplies,East,12,26.26,0.0,15.92,315.12,124.08
O10258,2023-03-31,C1029,P216,Product 17,Electronics,South,3,370.37,0.0,147.09,1111.11,669.84
O10259,2023-03-31,C1046,P206,Product 7,Electronics,West,17,235.09,0.0,103.91,3996.53,2230.06
